ID,Easting,Northing
4102,834571,821086
4103,834781,820908
4104,835100,820644
4105,835330,820452
4109,834879,821037
4111,834502,821506
4113,834439,822062
4114,834285,822346
4117,838340,822202
4118,838079,821855
4119,837600,820793
4120,837446,820487
4121,837381,820059
4122,837387,819833
4123,837378,819511
4124,837247,819244
4132,836171,817901
4135,836988,818933
4136,837220,819246
4137,837361,819757
4139,837356,820343
4144,839128,821880
4145,837375,820539
4146,836712,818305
4147,836281,817487
4148,836274,817515
4150,837360,819975
4152,838718,823468
4154,839089,823133
4155,838869,823119
4156,838725,823127
4157,838466,823027
4158,838409,822868
4159,838442,822706
4161,838121,821670
4162,837483,820568
4163,837538,820481
4164,837983,820275
4165,837943,820094
4166,837773,819900
4167,837650,819761
4169,837385,819178
4170,837381,818846
4172,837011,818602
4174,836342,818189
4175,836794,818322
4176,837058,818711
4177,837336,818759
4179,837363,819438
4180,837535,819663
4181,837650,819795
4183,837554,820339
4184,837436,820518
4185,837572,820818
4186,838064,821874
4187,838529,822784
4188,838657,822987
4189,838859,823023
4190,839076,823161
4191,838905,823285
4192,838812,823282
4194,833554,822239
4195,833640,822272
4197,834360,821987
4198,834736,821675
4199,835111,821313
4200,835229,821090
4201,835393,820626
4202,835435,820283
4204,835233,821040
4205,834976,821376
4206,834606,821682
4207,834425,821833
4208,834133,822077
4209,834058,822140
4210,833731,822133
4211,833359,822028
4213,832542,822165
4214,833594,822118
4215,832600,821936
4216,832526,822165
4217,832433,822302
4218,837380,822223
4219,837493,821881
4220,837332,821960
4221,836858,822234
4223,836516,822091
4224,836473,821373
4225,836461,821175
4226,836424,820433
4227,836248,820107
4228,836070,819852
4229,835848,819526
4230,835736,819365
4231,835763,818090
4232,835742,818090
4233,835736,819409
4234,835837,819555
4236,836226,820117
4238,836437,821192
4240,836465,821910
4241,836341,822211
4242,836425,822339
4243,836730,822235
4244,837042,822268
4245,837327,822005
4246,834825,818438
4247,835180,818580
4248,835437,818524
4249,836052,819869
4250,836229,819904
4252,836755,819721
4253,836656,819494
4254,836378,819507
4255,836411,819269
4256,836612,819007
4257,836823,819134
4258,837050,819046
4259,836205,818012
4260,837231,818693
4261,837316,818869
4262,837026,819043
4263,836734,818901
4264,836624,818975
4265,836379,819260
4268,836743,819729
4269,836658,819937
4272,835600,818466
6000,835870,824356
6001,836076,824399
6002,836719,825066
6003,836101,825146
6004,836121,825148
6005,836115,825340
6007,835866,825153
6008,835762,824999
6009,835969,824986
6010,835824,824862
6011,835672,824832
6012,836648,825401
6013,836450,825519
6014,836419,825479
6015,836379,825731
6017,836070,825504
6018,836090,825495
6019,835407,825239
6020,835353,825213
6021,835041,824934
6022,834999,824930
6023,834586,824389
6024,834522,824348
6025,834340,823998
6026,834322,823918
6027,833852,823333
6028,833785,823308
6029,833614,822927
6030,833596,822796
6031,833982,822753
6032,834066,822763
6034,835693,825553
6035,836052,825981
6036,836012,825778
6039,836288,826068
6040,836279,826026
6041,836596,825867
6042,836629,825937
6043,836852,825777
6044,836832,825861
6045,837344,825523
6046,837366,825613
6047,837225,825743
6048,837349,825995
6049,837160,826028
6050,837166,825976
6051,837508,826275
6052,837516,826246
6053,837534,825717
6054,837263,826508
6055,837238,826504
6056,836704,826511
6058,836733,826449
6060,836348,826235
6061,836432,826435
6062,836447,826466
6063,836227,826310
6064,836203,826347
6065,836063,826509
6066,835949,826646
6067,836174,826772
6068,835951,826770
6069,837327,826707
6070,837426,826729
6071,837606,826994
6072,837801,826583
6073,837724,826457
6075,838212,826469
6076,838386,826603
6077,838377,826642
6078,838731,826534
6079,838798,826904
6080,838822,827078
6081,838859,827226
6082,838287,826800
6084,839062,826739
6085,838956,826851
6086,839036,827071
6088,839178,827213
6089,839197,827202
6090,839211,826996
6091,839215,827023
6092,839447,826766
6093,839609,826727
6094,839492,826869
6095,839509,826919
6096,839846,826828
6097,839877,826836
6098,840068,826897
6099,840072,826997
6100,840004,827101
6101,839871,827096
6102,840144,827080
6103,840194,827080
6104,840305,826896
6105,840474,827019
6106,839562,827164
6107,839539,827225
6108,839269,827444
6109,839297,827460
6110,839044,827699
6111,839010,827811
6112,839271,828061
6113,839295,828050
6114,839310,828024
6115,839373,828183
6116,839989,828953
6117,840240,829183
6118,840368,829272
6119,840902,829648
6120,839760,830054
6121,839710,829896
6122,839604,829685
6123,839541,829680
6124,839292,829551
6125,838773,829007
6127,838632,828728
6128,838594,828622
6130,838483,828438
6131,838534,828499
6132,838329,828307
6133,838298,828304
6135,838255,827596
6136,838072,827686
6137,838271,827576
6138,837958,827552
6139,837924,827495
6140,837924,827421
6141,837842,827314
6142,837975,827277
6143,837968,827223
6144,838075,828179
6145,837821,828630
6146,837805,828623
6150,838055,828574
6151,841008,829768
6152,840760,829950
6153,840857,830159
6154,841575,830979
6155,841648,831130
6156,841329,831060
6157,841438,831240
6158,841405,831274
6159,841392,831412
6160,841614,831394
6161,841588,831382
6162,841985,831087
6163,841960,831095
6164,842047,831460
6165,842036,831483
6166,842465,831574
6167,842602,831622
6168,842611,831606
6169,842861,831789
6170,842739,831843
6171,842727,831831
6172,842791,832022
6173,842408,831841
6174,842328,831799
6175,841903,831655
6176,841903,831684
6177,842834,832010
6178,843897,832316
6179,843921,832301
6180,844216,832369
6181,844343,832469
6182,844917,832146
6183,844915,832176
6184,845107,831824
6185,845105,831803
6187,845461,831185
6188,845455,830925
6189,845469,830856
6190,845849,830564
6191,845911,830571
6192,846246,829963
6193,846297,829886
6194,846445,829632
6195,846515,829597
6196,846984,829434
6197,847124,829089
6199,847109,829148
6200,847282,828762
6201,847274,828758
6202,847854,828142
6203,848188,827733
6204,848266,827706
6205,849007,827870
6206,848645,828023
6207,848667,828052
6208,848792,828096
6209,848993,828005
6210,849231,827651
6211,849272,827610
6212,849911,828145
6213,849768,828011
6214,850588,828346
6215,850725,828413
6216,850939,828675
6217,851230,828884
6218,851308,828949
6219,851384,829077
6220,851309,829141
6221,851533,829537
6222,851538,829580
6223,851955,830609
6224,852026,830839
6225,852244,831306
6226,852234,831260
6227,851872,832127
6228,851881,832127
6229,851764,832461
6230,851773,832420
6231,852087,832895
6232,852136,832970
6233,852507,833072
6234,852714,832827
6235,839677,830151
6236,839753,830365
6237,839043,830904
6238,839517,830436
6239,839465,830457
6240,838286,831888
6241,838276,831874
6242,838051,832452
6243,838025,832516
6244,837766,832664
6245,837612,832575
6246,837361,832593
6247,837267,832587
6248,836954,832834
6249,836953,832960
6250,836855,833169
6251,836917,833228
6252,836743,833448
6253,836687,833512
6254,836475,833669
6255,836384,833660
6256,834831,834919
6257,834843,834744
6258,835258,834029
6259,835443,833755
6260,835477,833773
6261,835493,833818
6263,835207,833658
6264,835691,834150
6265,835565,834205
6266,836054,834222
6267,836050,834227
6268,836040,834343
6269,836044,834378
6270,835764,834486
6271,835738,834483
6272,835776,834258
