ID,Easting,Northing,Latitude(DDD.DDDD),Longitude(DDD.DDDD)
773,836192,819280,22.312500719,114.176136741
774,836217,818905,22.309114243,114.176379389
775,836595,818610,22.306450183,114.180047915
776,835917,815586,22.279141573,114.173468528
777,834159,815542,22.278742976,114.156410382
778,834441,815760,22.280711976,114.159146425
779,836189,818962,22.309628987,114.176107639
780,836253,819369,22.313304444,114.176728775
781,836416,819814,22.317323054,114.178310822
782,836143,819998,22.318984686,114.175661118
783,836396,820504,22.323554165,114.178116763
785,836452,821449,22.332088062,114.178660424
786,836631,821667,22.334056700,114.180398000
787,836726,821731,22.334634634,114.181320182
788,836758,822098,22.337948846,114.181630920
790,837251,822079,22.337777053,114.186416583
793,837643,822908,22.345263125,114.190222537
794,839455,820336,22.322034071,114.207807864
795,839560,820394,22.322557647,114.208827129
797,839487,821179,22.329646796,114.208120158
798,839355,821309,22.330821013,114.206839128
801,839357,821508,22.332618095,114.206858926
804,837428,820447,22.323039032,114.188133577
806,837340,819403,22.313611148,114.187278728
807,837227,819212,22.311886370,114.186181884
808,837070,818963,22.309637830,114.184658003
813,836690,815389,22.277362519,114.180969040
817,837358,820061,22.319553269,114.187453878
818,837461,820570,22.324149772,114.188453975
820,837838,821078,22.328737006,114.192113748
822,838572,821684,22.334208710,114.199239277
823,839391,821570,22.333177930,114.207189081
824,839227,820999,22.328021758,114.205596089
825,839270,821370,22.331372029,114.206014168
826,839517,821068,22.328644344,114.208411133
828,834191,821616,22.333594931,114.156713028
829,834209,821391,22.331563072,114.156888042
830,834605,821057,22.328547285,114.160732285
833,835178,820579,22.324231122,114.166294492
836,836925,815548,22.278798316,114.183249326
837,836852,815275,22.276332978,114.182540895
838,834929,820886,22.327003337,114.163877366
839,834931,820993,22.327969611,114.163896690
843,836455,822561,22.342130061,114.178689678
845,836650,825219,22.366133246,114.180583291
846,836538,825683,22.370323438,114.179495940
847,836612,825986,22.373059677,114.180214508
849,837244,826147,22.374513349,114.186351128
850,837792,826334,22.376201658,114.191672270
851,838120,826464,22.377375303,114.194857269
852,838145,826759,22.380039282,114.195100366
853,837414,827147,22.383543771,114.188002512
854,838212,826731,22.379786352,114.195750913
856,837841,826260,22.375533354,114.192147982
857,837336,826131,22.374368805,114.187244418
858,837009,826129,22.374350917,114.184069320
859,836580,825686,22.370350523,114.179903739
863,836437,819785,22.317061164,114.178514641
864,836276,819331,22.312961281,114.176952003
865,833380,822006,22.337115687,114.148839989
866,835509,819900,22.318099526,114.169507598
867,836068,815357,22.277073580,114.174933738
868,836989,826159,22.374621842,114.183875138
869,838206,827039,22.382567761,114.195693027
870,838457,827315,22.385059883,114.198130703
873,838982,827499,22.386720747,114.203229038
874,838462,827278,22.384725747,114.198179205
875,838183,826966,22.381908559,114.195469602
876,838140,826452,22.377266915,114.195051455
877,835802,815571,22.279006086,114.172352666
879,835451,834824,22.452870994,114.168937053
880,835296,834703,22.451778229,114.167431265
881,835252,834426,22.449276769,114.167003975
883,835911,834128,22.446585958,114.173406215
884,839949,826440,22.377155618,114.212616773
885,842118,817956,22.300534246,114.233646639
886,834209,816016,22.283023558,114.156894933
891,836214,815783,22.280920643,114.176350369
892,835872,834105,22.446378249,114.173027343
894,835367,834289,22.448039662,114.168121275
895,835261,834521,22.450134667,114.167091350
896,835282,834713,22.451868526,114.167295247
898,838148,814563,22.269902229,114.195115140
901,838776,816467,22.287095766,114.201211322
902,838866,816532,22.287682623,114.202084764
903,839430,816737,22.289532958,114.207558099
904,838976,817119,22.292983431,114.203153172
909,811128,817651,22.297606521,113.932904699
911,834513,818366,22.304245856,114.159842219
912,840643,816502,22.287408105,114.219328292
914,843834,813745,22.262499580,114.250279968
915,843996,813864,22.263573509,114.251852270
916,843648,814177,22.266401626,114.248477376
917,843338,814222,22.266809304,114.245469860
918,843690,814186,22.266482721,114.248884914
921,834439,818451,22.305013382,114.159123958
926,811879,816765,22.289616250,113.940206156
927,811041,817177,22.293324775,113.932067873
929,811562,819426,22.313641987,113.937089040
931,811243,820064,22.319398849,113.933983024
932,811048,817134,22.292936564,113.932136478
933,811727,816726,22.289261902,113.938731771
937,809889,817455,22.295818018,113.920884210
941,811822,816515,22.287357805,113.939656847
942,811999,816388,22.286213425,113.941376318
943,811535,815662,22.279650650,113.936885039
944,811954,816388,22.286212791,113.940939656
945,811775,816511,22.287321016,113.939200836
947,810280,817381,22.295155698,113.924679768
950,811175,817660,22.297688481,113.933360663
951,810988,818075,22.301433419,113.931539402
952,828033,823304,22.348820074,114.096928969
953,828248,823876,22.353986565,114.099013319
956,833336,822050,22.337512958,114.148412792
957,834381,821639,22.333802853,114.158557322
961,835769,818009,22.301022746,114.172031710
965,835783,817450,22.295974635,114.172167743
966,835771,817640,22.297690449,114.172051233
967,835725,818356,22.304156355,114.171604587
968,835701,818659,22.306892623,114.171371562
970,835662,819081,22.310703525,114.170992905
971,835027,821067,22.328637946,114.164828463
972,834821,821239,22.330191046,114.162828747
973,833186,821966,22.336754128,114.146956871
976,828220,823769,22.353020165,114.098742024
977,828043,823220,22.348061555,114.097026481
978,810788,817588,22.297032604,113.929606213
979,810935,818141,22.302028655,113.931024013
980,817940,825433,22.367968052,113.998921951
981,833772,816382,22.286328193,114.152653955
982,811919,820096,22.319697520,113.940543715
985,837430,826994,22.382162090,114.188157767
986,837678,827068,22.382830163,114.190565991
987,834942,812192,22.248491056,114.164010711
993,835263,822514,22.341705344,114.167118318
994,837254,822618,22.342644529,114.186446039
995,839108,822329,22.340032627,114.204443372
998,844922,819153,22.311332063,114.260864966
999,844868,819365,22.313246820,114.260342013
1000,845265,819562,22.315023816,114.264196217
1001,845261,820020,22.319159846,114.264159967
1003,844500,820605,22.324446547,114.256776754
